ROLL_BAD,PITCH_BAD,ROLL_FILTERED,PITCH_FILTERED
1.01,-0.03,-0.25,2.06
1.01,-0.03,-0.25,2.06
1.01,-0.03,-0.25,2.06
1.01,-0.02,-0.25,2.06
1.01,-0.02,-0.25,2.06
1.01,-0.02,-0.25,2.06
1.01,-0.02,-0.25,2.06
1.01,-0.02,-0.25,2.06
1.01,-0.02,-0.25,2.06
1.01,-0.03,-0.25,2.06
1.01,-0.03,-0.25,2.06
1.01,-0.03,-0.24,2.06
1.01,-0.02,-0.25,2.06
1.02,-0.02,-0.25,2.06
1.02,-0.02,-0.25,2.06
1.02,-0.02,-0.25,2.06
1.02,-0.02,-0.25,2.06
1.02,-0.02,-0.25,2.06
1.02,-0.02,-0.25,2.06
1.02,-0.02,-0.25,2.06
1.02,-0.03,-0.25,2.06
1.02,-0.02,-0.25,2.06
1.02,-0.02,-0.25,2.06
1.03,-0.02,-0.25,2.06
1.03,-0.03,-0.25,2.05
1.03,-0.03,-0.25,2.05
1.03,-0.03,-0.25,2.05
1.04,-0.03,-0.26,2.05
1.04,-0.03,-0.26,2.05
1.04,-0.03,-0.26,2.05
1.04,-0.03,-0.26,2.05
1.04,-0.03,-0.26,2.05
1.04,-0.03,-0.26,2.05
1.04,-0.03,-0.26,2.05
1.04,-0.03,-0.26,2.05
1.04,-0.04,-0.26,2.05
1.04,-0.03,-0.26,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.04
1.04,-0.04,-0.27,2.03
1.05,-0.05,-0.27,2.03
1.05,-0.05,-0.27,2.03
1.05,-0.05,-0.27,2.03
1.05,-0.04,-0.27,2.03
1.05,-0.04,-0.27,2.03
1.05,-0.04,-0.27,2.03
1.05,-0.04,-0.27,2.03
1.05,-0.04,-0.27,2.03
1.05,-0.04,-0.27,2.03
1.05,-0.04,-0.27,2.03
1.05,-0.04,-0.27,2.02
1.05,-0.04,-0.27,2.02
1.05,-0.04,-0.27,2.02
1.05,-0.04,-0.27,2.02
1.05,-0.04,-0.27,2.02
1.05,-0.03,-0.27,2.02
1.04,-0.03,-0.26,2.02
1.04,-0.03,-0.26,2.02
1.04,-0.03,-0.26,2.02
1.04,-0.03,-0.26,2.02
1.04,-0.03,-0.26,2.02
1.04,-0.03,-0.25,2.03
1.04,-0.03,-0.26,2.03
1.04,-0.02,-0.25,2.02
1.04,-0.02,-0.24,2.03
1.04,-0.01,-0.23,2.04
1.06,-0.01,-0.24,2.05
1.08,0.01,-0.25,2.05
1.06,0.03,-0.27,2.06
1.06,0.03,-0.29,2.06
1.03,0.04,-0.31,2.07
1.01,0.04,-0.32,2.08
1,0.06,-0.32,2.09
0.99,0.06,-0.32,2.1
0.99,0.08,-0.33,2.11
0.99,0.09,-0.34,2.12
0.98,0.1,-0.33,2.13
0.98,0.11,-0.33,2.13
0.99,0.12,-0.32,2.13
1.01,0.12,-0.31,2.14
1.01,0.12,-0.3,2.14
1.02,0.12,-0.3,2.16
1.02,0.13,-0.34,2.18
1.01,0.15,-0.41,2.23
0.95,0.2,-0.51,2.3
0.86,0.26,-0.68,2.39
0.74,0.33,-0.82,2.51
0.56,0.43,-0.89,2.66
0.4,0.63,-0.95,2.83
0.36,0.78,-1,3.03
0.32,0.96,-1.03,3.31
0.28,1.17,-1.06,3.67
0.25,1.63,-1.09,4.1
0.25,2.04,-1.11,4.56
0.24,2.5,-1.11,5.11
0.23,2.99,-1.13,5.71
0.25,3.54,-1.15,6.34
0.25,4.48,-1.18,7.01
0.25,5.12,-1.21,7.72
0.25,5.81,-1.21,8.44
0.25,6.89,-1.23,9.08
0.24,7.57,-1.25,9.66
0.22,8.19,-1.27,10.18
0.2,8.74,-1.33,10.66
0.2,9.24,-1.39,11.13
0.11,9.92,-1.45,11.57
0.07,10.37,-1.51,12.03
0.03,10.82,-1.57,12.52
-0.01,11.28,-1.63,13.06
-0.07,12.02,-1.66,13.68
-0.09,12.59,-1.68,14.33
-0.07,13.24,-1.77,15.01
-0.04,13.92,-1.87,15.69
-0.13,14.9,-1.88,16.31
-0.13,15.58,-1.89,16.85
-0.04,16.17,-1.91,17.42
-0.01,16.68,-1.93,18.05
0.05,17.55,-2.01,18.67
0.06,18.18,-2.06,19.29
0.05,18.8,-2.07,19.92
0.07,19.41,-2.09,20.52
0.11,20.31,-2.12,21.05
0.12,20.85,-2.13,21.54
0.11,21.35,-2.14,22.01
0.11,21.81,-2.17,22.5
0.08,22.49,-2.19,22.99
0.05,22.98,-2.21,23.44
0.04,23.44,-2.21,23.89
0.03,23.86,-2.27,24.35
0.06,24.52,-2.32,24.85
0.04,24.98,-2.37,25.35
0.04,25.48,-2.4,25.88
0.04,25.98,-2.45,26.44
0.05,26.5,-2.5,27.02
0.01,27.34,-2.52,27.56
-0.01,27.89,-2.53,28.06
-0.01,28.4,-2.56,28.54
-0.01,28.87,-2.6,28.98
-0.04,29.53,-2.61,29.44
-0.06,29.96,-2.64,29.92
-0.06,30.4,-2.7,30.44
-0.06,30.89,-2.76,30.96
-0.08,31.65,-2.81,31.49
-0.08,32.14,-2.85,32.05
-0.09,32.67,-2.88,32.64
-0.1,33.23,-2.95,33.27
-0.14,34.11,-2.99,33.91
-0.18,34.74,-2.97,34.54
-0.21,35.37,-2.92,35.14
-0.23,35.97,-2.8,35.74
-0.23,36.8,-2.64,36.28
-0.16,37.36,-2.55,36.75
-0.12,37.85,-2.4,37.11
-0.13,38.25,-2.33,37.34
-0.05,38.54,-2.31,37.51
0.01,38.81,-2.31,37.61
0.01,38.92,-2.31,37.72
0.01,38.98,-2.33,37.86
0.01,39.07,-2.35,38.02
0.03,39.26,-2.39,38.19
0.04,39.39,-2.41,38.4
0.03,39.56,-2.41,38.54
0.01,39.74,-2.33,38.46
0.06,39.52,-1.88,37.5
0.14,39.01,-1.73,36.58
0.14,38.24,-1.6,35.36
0.1,36.61,-1.48,33.84
0.11,35.18,-1.44,32.08
0.12,33.45,-1.44,30.18
0.1,31.6,-1.45,28.24
0.12,29.67,-1.52,26.23
0.17,26.74,-1.55,24.15
0.18,24.64,-1.62,21.99
0.22,22.55,-1.67,19.86
0.21,20.4,-1.72,17.85
0.21,17.33,-1.76,16.05
0.18,15.45,-1.75,14.55
0.17,13.78,-1.74,13.33
0.19,12.42,-1.74,12.28
0.2,10.79,-1.68,11.35
0.2,9.82,-1.64,10.54
0.24,8.95,-1.64,9.9
0.25,8.22,-1.67,9.42
0.2,7.4,-1.74,9.03
0.16,7,-1.83,8.68
0.07,6.66,-1.94,8.35
-0.03,6.33,-2.05,7.99
-0.23,5.83,-2.16,7.59
-0.34,5.45,-2.35,7.1
-0.47,5.01,-2.54,6.58
-0.71,4.51,-2.63,6.03
-0.91,3.98,-2.71,5.46
-1.02,3.15,-2.81,4.9
-1.12,2.59,-2.83,4.36
-1.23,2.04,-2.7,3.84
-1.18,1.26,-2.7,3.34
-1,0.76,-3.2,2.95
-1.22,0.29,-3.29,2.87
-1.73,0.04,-3.22,2.84
-1.69,0.05,-3.2,2.83
-1.56,0.04,-3.18,2.82
-1.56,0.04,-3.13,2.82
-1.54,0.04,-3.14,2.81
-1.48,0.04,-3.23,2.81
-1.55,0.03,-3.32,2.8
-1.66,0.03,-3.49,2.79
-1.76,0.03,-3.9,2.78
-1.97,0.02,-4.61,2.76
-2.77,0.01,-5.66,2.72
-3.67,0.01,-7.02,2.67
-4.84,0,-8.71,2.61
-6.34,-0.01,-10.56,2.54
-9.05,-0.02,-12.35,2.45
-10.95,-0.04,-14,2.37
-12.69,-0.05,-15.61,2.29
-14.3,-0.06,-17.2,2.22
-16.65,-0.05,-18.81,2.15
-18.27,-0.04,-20.43,2.08
-19.86,-0.03,-22.06,2.03
-21.46,-0.03,-23.69,2.04
-23.92,-0.03,-25.31,2.09
-25.55,-0.03,-26.96,2.17
-27.2,-0.01,-28.57,2.21
-29.65,0,-30.17,2.18
-31.24,-0.05,-31.61,2.15
-32.85,-0.11,-32.79,2.19
-34.21,-0.14,-33.91,2.26
-35.3,-0.14,-35.01,2.32
-36.94,-0.15,-35.67,2.41
-37.98,-0.15,-36,2.56
-38.48,-0.12,-36.34,2.69
-38.87,-0.09,-36.92,2.73
-39.31,-0.06,-37.75,2.57
-40.01,-0.16,-38.74,2.37
-40.94,-0.39,-39.66,2.2
-41.97,-0.62,-40.41,2.11
-43.24,-0.81,-41.06,2.09
-43.9,-0.85,-41.62,2.13
-44.49,-0.83,-42.18,2.18
-45.26,-0.71,-42.89,2.2
-45.88,-0.63,-43.69,2.18
-46.63,-0.55,-44.48,2.2
-47.43,-0.44,-45.18,2.33
-48.52,-0.14,-45.83,2.48
