ROLL_BAD,PITCH_BAD,ROLL_FILTERED,PITCH_FILTERED
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.18,0.19,1.67
1.6,-0.17,0.19,1.67
1.6,-0.17,0.19,1.67
1.6,-0.17,0.19,1.67
1.6,-0.17,0.19,1.67
1.6,-0.17,0.19,1.67
1.6,-0.17,0.19,1.67
1.6,-0.17,0.19,1.67
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.17,0.19,1.66
1.6,-0.16,0.19,1.66
1.6,-0.16,0.19,1.66
1.6,-0.16,0.19,1.66
1.6,-0.16,0.19,1.66
1.6,-0.16,0.19,1.66
1.6,-0.16,0.19,1.66
1.6,-0.16,0.19,1.66
1.6,-0.16,0.19,1.65
1.6,-0.16,0.19,1.65
1.6,-0.16,0.19,1.65
1.6,-0.16,0.19,1.66
1.6,-0.16,0.19,1.65
1.6,-0.15,0.19,1.65
1.6,-0.15,0.19,1.65
1.6,-0.15,0.19,1.65
1.6,-0.15,0.19,1.65
1.6,-0.15,0.19,1.65
1.6,-0.15,0.19,1.65
1.61,-0.15,0.19,1.65
1.61,-0.15,0.19,1.65
1.61,-0.15,0.19,1.65
1.61,-0.15,0.19,1.65
1.61,-0.15,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.2,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.16,0.19,1.65
1.61,-0.17,0.2,1.65
1.61,-0.17,0.2,1.65
1.61,-0.17,0.2,1.65
1.61,-0.17,0.2,1.65
1.61,-0.18,0.19,1.65
1.61,-0.18,0.21,1.66
1.61,-0.18,0.19,1.66
1.6,-0.18,0.2,1.66
1.56,-0.16,0.21,1.66
1.52,-0.15,0.13,1.7
1.47,-0.14,0.1,1.74
1.39,-0.1,0.19,1.83
1.42,-0.01,0.36,1.94
1.55,0.09,0.44,2.12
1.7,0.22,0.26,2.42
1.72,0.44,-0.17,2.74
1.44,0.77,-0.19,2.94
0.83,1.21,-0.15,3.11
0.83,1.38,-0.16,3.36
0.81,1.56,-0.26,3.74
0.73,1.84,-0.45,4.4
0.59,2.27,-0.77,5.41
0.18,3.5,-1.04,6.63
-0.23,4.67,-0.94,7.91
-0.47,5.94,-0.05,9.04
-0.3,7.24,0.7,9.64
1.18,8.57,1.36,10.09
1.79,9.02,2.19,10.5
2.41,9.41,2.85,11.06
3.53,10.08,3.33,11.88
3.96,10.82,3.79,12.87
4.37,11.77,4.17,14.05
4.79,12.85,4.28,15.41
5.09,14.1,4.03,16.95
5,16.25,3.53,18.54
4.54,17.88,2.93,20.1
3.86,19.48,2.68,21.55
3.23,21.07,2.66,22.89
3.05,23.17,2.79,24.12
3.13,24.43,2.85,25.27
3.27,25.62,2.57,26.39
3.27,26.73,1.99,27.39
2.56,28.34,1.32,28.16
1.91,29.22,0.67,28.77
1.32,29.9,0.45,29.34
0.82,30.48,0.43,29.76
0.82,31.2,0.4,30.03
0.9,31.51,0.42,30.23
0.95,31.72,0.28,30.37
1.05,31.86,0.05,30.45
0.87,31.98,-0.06,30.54
0.75,32.03,-0.19,30.64
0.73,32.1,-0.59,30.75
0.6,32.18,-0.99,30.97
0.02,32.36,-1.31,31.35
-0.28,32.64,-1.67,31.86
-0.55,33.06,-2.18,32.53
-0.9,33.62,-2.97,33.32
-1.52,34.3,-4.03,34.27
-3.28,35.55,-5.41,35.35
-5.01,36.52,-6.97,36.49
-7.27,37.54,-8.63,37.51
-9.91,38.51,-10.2,38.28
-14.28,39.47,-11.39,38.59
-17.16,39.67,-12.38,38.21
-19.5,39.26,-13.09,36.88
-21.44,38.1,-13.24,34.74
-23.49,34.61,-13.46,32.11
-24.1,31.42,-13.72,29.13
-24.81,28.16,-13.7,25.82
-25.34,24.41,-13.37,22.96
-25.37,18.94,-12.89,20.69
-24.84,16.18,-12.55,18.73
-24.3,14.03,-12.06,17.11
-24.04,11.85,-11.08,15.65
-23.39,8.93,-9.55,14.1
-22.18,7.09,-7.46,12.44
-20.46,5.22,-4.71,10.81
-18.21,3.32,-1.55,9.16
-13.7,0.54,1.91,7.57
-10.24,-1.26,5.77,6.18
-6.57,-2.86,10.21,4.79
-2.42,-4.22,14.78,3.28
4.59,-6.34,19.57,1.74
9.39,-7.83,24.48,0.15
14.47,-9.28,28.97,-1.34
19.75,-10.71,33.46,-2.67
26.58,-12.33,38.29,-4.03
31.45,-13.34,43.53,-5.33
36.88,-14.41,49.49,-6.48
42.64,-15.25,55.86,-7.7
49.1,-15.87,61.97,-8.91
59.24,-16.57,67.26,-9.51
65.43,-16.67,72.45,-9.72
70.77,-16.5,77.81,-9.36
75.86,-16.51,82.64,-8
83.69,-16.3,85.48,-5.9
87.54,-15.92,86.02,-3.16
88.82,-15.72,84.85,0.38
87.77,-15.61,81.95,4.32
83.26,-15.33,77.78,7.9
78.39,-14.58,73.26,10.9
73.18,-13.1,68.52,13.39
68.07,-10.91,63.3,15.52
60.27,-7.07,57.72,17.25
54.76,-4.54,52.07,19.02
48.94,-1.97,45.93,21.27
43.03,0.76,38.82,24.2
33.23,5.41,31.49,27.77
25.52,9.32,24.45,31.62
18.49,13.41,17.14,35.73
11.17,17.86,10,39.99
-0.2,24.4,3.52,44.13
-7.91,28.72,-2.34,47.66
-15.8,32.42,-7.52,50.57
-23.24,34.99,-11.72,52.84
-30.21,36.68,-15.02,54.27
-36.09,37.48,-17.83,54.97
-42.94,37.24,-20.49,55.1
-46.79,36.35,-23.31,54.81
-50.33,35.03,-26.46,54.42
-53.87,33.35,-29.71,53.91
-59.74,30.15,-32.42,53.17
-63.48,27.6,-34.22,51.89
-66.16,24.7,-35.16,50.28
-67.62,21.18,-35.07,48.86
-68.34,15.83,-33.84,47.33
-67.52,12.64,-31.61,45.82
-65.69,10.03,-28.19,44.43
-62.89,7.45,-23.92,43.11
-57.01,3.66,-19.25,41.88
-52.31,1.39,-13.55,40.85
-47.4,-0.39,-5.68,40.03
-40.8,-1.68,3.84,39.07
-27.34,-3.14,13.73,37.92
-16.75,-4.46,23.36,36.79
-6.01,-5.78,32.18,35.93
3.34,-6.77,39.92,35.59
12.34,-7.31,46.86,35.58
23.41,-7.1,53.7,35.31
30.44,-6.85,60.95,34.8
37.44,-7,68.63,34.49
45.07,-7.41,76.46,34.55
56.87,-7.73,84.11,34.61
65.07,-7.81,91.35,34.37
72.56,-8.07,98.2,33.78
80.06,-8.65,104.79,33.53
90.44,-9.58,110.12,33.9
96.98,-10.1,113.88,34.55
101.88,-10.33,116.12,35.44
105.07,-10.48,117.16,36.81
107.01,-10.93,116.61,39.32
107.76,-12.5,113.62,42.91
105.77,-13.98,108.55,46.66
101.18,-15.13,102.5,50.37
90.8,-15.47,96.12,54.18
83.25,-14.69,89.52,57.79
75.82,-13.32,82.9,61.15
68.57,-11.59,76.63,64.24
61.56,-9.44,70.29,67.13
52.11,-5.42,63.16,70.06
45.47,-2.19,55.78,73.5
37.95,1.65,48.01,77.13
27.03,8.21,39.7,80.92
18.74,12.9,31.29,85.19
10.16,17.56,23.7,89.66
1.29,22.59,16.84,93.92
-6.98,27.36,10.7,97.79
-15.11,31.54,5.44,101.13
-26.29,36.37,1.18,103.9
-33.21,38.71,-1.74,106.11
-39.32,40.35,-3.01,107.79
-43.91,41.36,-2.72,108.92
-47.35,41.95,-0.89,109.48
-47.73,41.66,2.22,109.38
-46.28,41.22,6.32,108.66
-42.96,40.83,10.74,107.94
-35.92,39.55,15.44,107.93
-31.68,39.16,21.42,107.77
-26.56,39.69,28.92,106.21
-19.16,40.08,36.71,104.44
-4.72,38.25,43.22,103.2
4.46,36.86,47.33,102.52
11.33,36.03,50.39,101.96
15.63,35.65,52.58,100.61
20.17,35.06,54.19,97.86
21.71,33.43,56.13,94.49
22.48,30.8,58.13,91.31
23.58,27.89,59.69,87.99
25.44,24.34,60.27,83.95
26.17,21.29,60.49,79.77
25.86,17.76,60.68,75.11
25.55,14.45,59.93,70.6
24.7,9.06,58.49,66.74
23.11,5.78,56.85,62.85
21.44,2.95,54.57,59.11
19.72,-0.32,52.02,56.18
16.29,-4.68,49.68,53.43
13.61,-6.93,48.28,51.33
11.81,-9.02,47.37,50.77
10.98,-10.4,46.42,51.09
10.07,-9.91,45.14,50.42
9.07,-9.5,44.36,49.41
7.86,-10.38,44.02,49.31
7.36,-11.15,43.56,50.31
7.24,-10.74,42.31,52.25
6.32,-8.26,40.35,55.08
4.55,-5.49,38.56,57.8
2.6,-2.29,37.39,60.08
1.23,0.53,37.02,62.11
0.75,2.89,37.24,64.54
1.56,6.19,37.77,67.4
2.84,9.13,37.79,70.39
4.35,12.23,37.11,73.82
5.32,15.13,35.27,77.55
5.69,20.56,32.83,81.14
4.82,24.38,30.63,84.58
3.64,28.01,27.86,88.14
2.64,31.53,24.04,91.76
-0.54,37.42,20.07,95.07
-3.59,41.22,16.6,98.21
-6.28,44.97,13.21,100.74
-8.21,48.48,10.05,102.39
-10.93,52.51,6.57,103.24
-12.95,54.14,1.9,104.07
-16.66,55.06,-2.71,104.68
-22.77,55.99,-6.52,104.53
-30.67,56.63,-8.98,103.61
-33.81,56.27,-9.95,102.04
-34.5,55.71,-10.86,99.74
-33.1,54.71,-11.85,96.84
-31.26,52.09,-12.71,93.54
-30.18,49.59,-13.98,89.81
-29.09,46.92,-15.27,85.37
-28.7,43.72,-15.71,80.62
-28.32,39.9,-15.45,75.9
-26.28,33.83,-14.59,71.21
-24.64,29.52,-13.08,66.03
-22.75,25.23,-11.07,60.21
-19.2,17.92,-8.12,54.37
-16.03,12.37,-5.47,48.87
-12.56,7.12,-4.01,43.82
-10.1,2.27,-3.01,39.26
-9,-2.31,-1.72,35.24
-8.26,-6.43,0.25,31.73
-6.21,-11.65,1.86,28.82
-4.1,-14.66,3.06,26.22
-2.53,-17.2,5.14,24
0.03,-20.48,8.59,22.22
3.7,-22.2,12.55,20.6
8.6,-23.47,16.96,18.97
13.9,-24.41,21.6,17.18
