ROLL_BAD,PITCH_BAD,ROLL_FILTERED,PITCH_FILTERED,,
0.87,-0.04,4.6,9.12,,
0.86,-0.04,4.57,9.09,,
0.86,-0.04,4.55,9.05,,
0.87,-0.04,4.52,9.01,,
0.87,-0.04,4.49,8.97,,
0.87,-0.04,4.47,8.93,,
0.87,-0.03,4.44,8.89,,
0.87,-0.03,4.41,8.86,,
0.88,-0.03,4.39,8.82,,
0.88,-0.03,4.36,8.78,,
0.88,-0.03,4.33,8.75,,
0.87,-0.03,4.31,8.71,,
0.87,-0.03,4.28,8.67,,
0.87,-0.03,4.26,8.64,,
0.87,-0.03,4.23,8.6,,
0.87,-0.03,4.21,8.56,,
0.88,-0.03,4.18,8.53,,
0.88,-0.03,4.16,8.49,,
0.88,-0.03,4.13,8.46,,
0.88,-0.03,4.11,8.42,,
0.88,-0.03,4.08,8.39,,
0.88,-0.04,4.06,8.35,,
0.88,-0.04,4.03,8.32,,
0.88,-0.03,4.01,8.28,,
0.88,-0.03,3.99,8.25,,
0.88,-0.03,3.96,8.21,,
0.88,-0.03,3.94,8.18,,
0.88,-0.03,3.91,8.15,,
0.88,-0.03,3.89,8.11,,
0.88,-0.03,3.87,8.08,,
0.88,-0.03,3.84,8.05,,
0.88,-0.03,3.82,8.01,,
0.89,-0.03,3.8,7.98,,
0.89,-0.03,3.77,7.95,,
0.89,-0.03,3.75,7.91,,
0.89,-0.03,3.73,7.88,,
0.89,-0.04,3.71,7.85,,
0.89,-0.04,3.68,7.82,,
0.89,-0.04,3.66,7.79,,
0.89,-0.04,3.64,7.76,,
0.89,-0.04,3.62,7.72,,
0.89,-0.04,3.6,7.69,,
0.89,-0.04,3.57,7.66,,
0.89,-0.04,3.55,7.63,,
0.89,-0.04,3.53,7.6,,
0.89,-0.04,3.51,7.57,,
0.89,-0.04,3.49,7.54,,
0.89,-0.04,3.47,7.51,,
0.89,-0.04,3.45,7.48,,
0.89,-0.04,3.43,7.45,,
0.89,-0.04,3.4,7.42,,
0.89,-0.04,3.38,7.39,,
0.89,-0.04,3.36,7.36,,
0.89,-0.04,3.34,7.33,,
0.89,-0.04,3.32,7.31,,
0.89,-0.04,3.3,7.28,,
0.89,-0.04,3.28,7.25,,
0.89,-0.04,3.26,7.22,,
0.89,-0.04,3.24,7.19,,
0.88,-0.04,3.22,7.16,,
0.88,-0.04,3.2,7.13,,
0.88,-0.04,3.18,7.1,,
0.88,-0.04,3.16,7.08,,
0.88,-0.04,3.14,7.05,,
0.88,-0.04,3.12,7.02,,
0.88,-0.04,3.1,6.99,,
0.88,-0.04,3.08,6.97,,
0.88,-0.04,3.06,6.94,,
0.88,-0.04,3.04,6.91,,
0.88,-0.04,3.02,6.88,,
0.88,-0.04,3.01,6.86,,
0.88,-0.04,2.99,6.83,,
0.88,-0.04,2.97,6.8,,
0.88,-0.04,2.95,6.78,,
0.88,-0.04,2.93,6.75,,
0.88,-0.04,2.91,6.72,,
0.88,-0.04,2.9,6.7,,
0.88,-0.04,2.88,6.67,,
0.88,-0.04,2.86,6.65,,
0.88,-0.04,2.84,6.62,,
0.88,-0.04,2.83,6.6,,
0.88,-0.04,2.81,6.57,,
0.88,-0.04,2.79,6.54,,
0.87,-0.04,2.77,6.52,,
0.87,-0.04,2.76,6.49,,
0.87,-0.04,2.74,6.47,,
0.87,-0.04,2.72,6.44,,
0.87,-0.04,2.7,6.42,,
0.87,-0.04,2.69,6.39,,
0.87,-0.04,2.67,6.37,,
0.88,-0.04,2.65,6.35,,
0.88,-0.04,2.62,6.33,,
0.88,-0.04,2.63,6.3,,
0.86,-0.03,2.64,6.26,,
0.89,-0.04,2.64,6.24,,
0.89,-0.04,2.53,6.25,,
0.87,-0.04,2.49,6.21,,
0.85,-0.03,2.36,6.22,,
0.81,-0.02,2.29,6.22,,
0.7,0.01,2.31,6.27,,
0.64,0.03,2.54,6.4,,
0.77,0.13,2.84,6.56,,
1.1,0.27,2.79,6.81,,
1.51,0.58,2.62,7.07,,
1.33,0.86,2.43,7.36,,
1.14,1.15,2,7.64,,
0.96,1.43,1.56,7.83,,
0.34,1.8,1.4,7.99,,
0.17,1.99,1.36,8.3,,
0.19,2.2,1.09,8.86,,
0.27,2.57,0.91,9.74,,
0.09,3.61,0.38,11.08,,
-0.09,4.75,-0.44,12.68,,
-0.81,6.35,-0.8,14.33,,
-1.67,8.09,-0.21,15.9,,
-1.35,10.51,0.17,17.5,,
-0.32,12.16,0.17,19.17,,
0,13.74,0.2,20.86,,
0.03,15.45,-0.11,22.56,,
0,17.96,-0.49,24.3,,
-0.33,19.69,-0.8,26.07,,
-0.51,21.45,-1.35,27.73,,
-0.61,23.25,-1.94,29.31,,
-1.21,25.67,-2.33,30.82,,
-1.61,27.19,-2.7,32.29,,
-1.83,28.71,-3.33,33.9,,
-2.08,30.2,-4.01,35.66,,
-2.7,32.78,-4.52,37.35,,
-2.87,34.58,-4.92,38.81,,
-2.84,36.25,-5.4,40.21,,
-2.91,37.64,-6.36,41.65,,
-3.39,39.03,-7.89,43,,
-5.41,41.21,-9.69,44.23,,
-7.46,42.45,-11.49,45.48,,
-9.71,43.62,-13.27,46.68,,
-11.98,44.82,-15.07,47.73,,
-15.36,46.41,-16.93,48.61,,
-17.83,47.28,-18.91,49.37,,
-20.31,48,-20.98,49.99,,
-24.13,48.88,-22.87,50.42,,
-26.81,49.24,-24.6,50.84,,
-29.35,49.36,-26.21,51.31,,
-31.94,49.42,-27.82,51.65,,
-36.07,49.27,-29.67,51.94,,
-38.96,48.91,-31.49,52.3,,
-41.86,48.67,-33.15,52.67,,
-44.54,48.57,-34.85,52.98,,
-48.24,48.34,-37.01,53.26,,
-50.83,48.05,-39.19,53.57,,
-53.79,47.86,-41.09,53.8,,
-56.71,47.67,-43.13,53.91,,
-60.58,46.85,-45.36,53.94,,
-63.47,46.03,-47.19,53.88,,
-66.35,45.14,-48.51,53.69,,
-69.34,43.72,-49.78,53.27,,
-70.73,42.59,-51.19,52.54,,
-72.06,41.38,-52.56,51.59,,
-73.24,40.12,-53.88,50.65,,
-74.67,38.17,-55.07,49.81,,
-75.7,36.75,-56.04,48.95,,
-76.67,35.18,-56.84,47.75,,
-77.38,33.46,-57.4,46.54,,
-77.82,30.76,-57.54,45.45,,
-77.87,29.2,-57.32,44.13,,
-77.53,27.64,-56.96,42.5,,
-76.38,25.08,-56.3,40.75,,
-75.38,23.18,-55.63,38.76,,
-74.16,21.17,-54.71,36.75,,
-72.94,19.27,-53.45,35.03,,
-70.74,16.72,-51.93,33.55,,
-68.94,15.2,-50.21,32.09,,
-67.08,13.76,-48.15,30.82,,
-65.04,12.38,-45.47,29.69,,
-61.34,10.8,-42.22,28.52,,
-57.98,9.98,-39.21,27.44,,
-54.33,9.13,-36.54,26.66,,
-49.87,7.64,-33.58,26.23,,
-47.18,6.88,-30.17,25.83,,
-43.88,6.33,-26.45,25.31,,
-40.18,5.89,-22.47,24.74,,
-36.2,5.47,-18.81,24.14,,
-32.06,5.08,-15.77,23.66,,
-26.6,4.56,-13.13,23.27,,
-23.71,4.28,-10.79,22.97,,
-21.2,3.99,-8.62,22.76,,
-18.84,3.79,-6.24,22.57,,
-15.42,3.63,-3.86,22.5,,
-12.88,3.57,-1.45,22.54,,
-10.45,3.66,1,22.6,,
-6.62,3.93,3.23,22.85,,
-4.1,4.12,5.48,23.26,,
-1.76,4.55,7.78,23.78,,
0.61,5.08,10.09,24.47,,
3.02,5.69,12.46,25.24,,
6.65,6.83,14.95,26.1,,
9.28,7.6,17.27,27.17,,
11.96,8.47,19.58,28.14,,
14.54,9.51,21.65,28.77,,
17.07,10.34,23.4,29.53,,
20.26,11.01,24.59,30.62,,
21.91,11.78,25.53,31.43,,
23.19,12.77,26.4,31.94,,
24.72,13.6,27.06,32.68,,
25.69,14.02,27.43,33.5,,
26.39,14.82,27.69,34.17,,
26.84,15.59,27.91,35,,
27.18,16.17,27.83,36.04,,
27.73,17.35,27.2,36.93,,
27.69,18.26,25.58,37.88,,
27.01,18.98,22.89,39.13,,
25.34,19.83,19.67,40.41,,
21.16,21.7,16.48,41.48,,
18.01,22.93,13.3,42.5,,
14.93,24.02,9.69,43.54,,
11.65,25.22,5.67,44.55,,
7.65,26.53,1.14,45.58,,
0.29,28.34,-3.82,46.73,,
-5.74,29.47,-8.62,48,,
-12.11,30.51,-12.98,49.19,,
-18.08,31.41,-17.05,50.06,,
-26.3,32.3,-21.07,50.58,,
-31.3,32.42,-24.76,50.88,,
-36.1,32.2,-27.87,51.09,,
-40.44,31.72,-30.65,51.25,,
-45.64,30.93,-33.65,51.33,,
-49,30.27,-36.86,51.22,,
-52.73,29.34,-39.93,50.97,,
-56.57,28.16,-42.32,50.69,,
-61.29,26.35,-44.4,50.22,,
-63.66,25.08,-46.38,49.4,,
-65.8,23.63,-47.78,48.35,,
-67.74,21.86,-48.44,47.15,,
-69.16,19.28,-48.87,45.66,,
-69.3,17.61,-49.38,43.93,,
-69.39,16.04,-50.02,42.2,,
-69.6,14.54,-50.9,40.73,,
-70.27,12.53,-51.68,39.66,,
-71.01,10.99,-52.46,38.83,,
-71.69,9.48,-53.17,38.13,,
-72.41,8.02,-53.83,37.51,,
-73.35,5.82,-54.33,36.81,,
-73.97,4.54,-53.61,35.95,,
-74.23,3.43,-51.71,34.93,,
-73.11,2.39,-48.94,33.81,,
-69.31,0.77,-45.62,32.73,,
-66.06,-0.41,-42.21,31.84,,
-62.4,-1.69,-38.89,31.09,,
-57.2,-3.32,-35.49,30.46,,
-53.78,-4.31,-31.74,29.86,,
-50.17,-5.19,-27.79,29.36,,
-46.09,-5.96,-23.91,29.08,,
-39.98,-6.66,-20.15,29.05,,
-35.92,-6.8,-16.49,29.2,,
-32.09,-6.73,-12.74,29.54,,
-28.29,-6.49,-8.83,29.83,,
-22.36,-5.87,-5.12,29.97,,
-18.36,-5.6,-1.63,30.07,,
-14.58,-5.4,1.85,30.03,,
-11.04,-5.2,5.32,29.9,,
-7.44,-5.17,8.56,29.94,,
-2.29,-5.14,11.73,30.17,,
0.98,-4.84,15,30.21,,
4.16,-4.47,18.33,30.02,,
7.57,-4.37,21.7,29.86,,
10.97,-4.54,25.03,29.81,,
16.11,-4.7,28.24,29.72,,
19.48,-4.74,31.33,29.6,,
22.66,-4.79,34.25,29.55,,
27.23,-4.88,36.96,29.51,,
30.12,-4.91,39.53,29.43,,
32.81,-4.98,42.02,29.26,,
35.4,-5.07,44.48,29.04,,
37.89,-5.22,46.82,28.83,,
41.55,-5.47,49.06,28.63,,
43.93,-5.67,51.25,28.5,,
46.14,-5.87,53.26,28.45,,
48.3,-6.06,54.72,28.46,,
51.18,-6.22,55.45,28.66,,
52.28,-6.15,55.4,29.01,,
52.71,-5.98,54.74,29.49,,
52.13,-5.6,53.61,29.96,,
51.11,-5.29,52.33,30.51,,
49.78,-4.98,51.04,31.12,,
48.44,-4.6,49.63,31.75,,
46.46,-4.17,48.16,32.4,,
44.96,-3.93,46.59,33.09,,
43.45,-3.64,44.85,33.91,,
41.85,-3.19,43.03,34.69,,
39.22,-2.24,41.18,35.44,,
37.36,-1.55,39.36,36.36,,
35.46,-0.8,37.7,37.45,,
33.7,0.1,36.26,38.43,,
31.53,1.59,34.9,39.15,,
30.28,2.45,33.51,39.91,,
28.91,3.23,32.01,40.96,,
27.5,4.11,30.54,42.28,,
26.07,5.24,29.09,43.76,,
24.14,7.27,27.66,45.4,,
22.86,8.82,26.12,47.17,,
21.6,10.54,24.68,48.98,,
20.32,12.31,23.16,50.67,,
18.54,15.05,21.46,52.25,,
17.13,16.8,19.74,53.89,,
15.53,18.5,18.12,55.46,,
13.99,20.28,16.7,56.88,,
11.79,22.88,15.38,58.2,,
10.48,24.41,14,59.66,,
9.11,25.98,12.67,61.08,,
7.74,27.69,11.37,62.19,,
5.83,29.97,9.91,63.06,,
4.39,31.08,8.33,64.05,,
2.69,32.08,6.77,65.45,,
0.93,33.34,5.24,67.15,,
-0.82,35.06,3.73,68.82,,
-2.61,37.02,2.29,70.26,,
-5.64,39.67,0.78,71.34,,
-7.93,41.01,-0.77,72.11,,
-10.51,41.94,-2.27,72.74,,
-14.48,42.77,-3.4,73.44,,
-16.95,43.22,-4.28,74.15,,
-19.09,43.77,-4.97,74.83,,
-20.86,44.34,-5.35,75.39,,
-22.8,45.18,-5.56,75.62,,
-23.71,45.56,-5.88,75.49,,
-24.57,45.53,-6.19,75.14,,
-25.63,45.12,-6.54,74.6,,
-27.36,44.02,-6.95,73.87,,
-28.56,43.03,-7.23,72.82,,
